similarity,combination
4,['flop.sol']
2,['join.sol']
6,['flip.sol']
4,['frob.sol']
3,['flip.t.sol']
2,['move.sol']
3,['flop.t.sol']
3,['flap.t.sol']
4,['heal.sol']
5,['drip.t.sol']
3,['heal.t.sol']
4,['flap.sol']
3,['drip.sol']
2,['frob.t.sol']
4,['tune.sol']
6,['bite.sol']
