similarity,combination
17,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
23,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
20,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'RLC.sol']
9,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
8,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'RLC.sol']
28,['TokenSpender.sol', 'Migrations.sol', 'ERC20.sol', 'RLC.sol']
26,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
26,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'RLC.sol']
37,['TokenSpender.sol', 'SafeMath.sol', 'ERC20.sol', 'RLC.sol']
25,['TokenSpender.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
20,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
17,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'RLC.sol']
37,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'RLC.sol']
10,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
46,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
