similarity,combination
23,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
6,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
28,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
