similarity,combination
3,['MCOPCrowdSale.sol']
2,['MCOPCrowdSaleAll.sol']
1,['Migrations.sol']
0,['TestAddress.sol']
1,['TokenTimelock.sol']
3,['TestMCOPCrowdSale.sol']
0,['MCOPToken.sol']
