similarity,combination
23,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
31,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
35,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
4,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
19,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
24,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
19,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
27,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
