similarity,combination
6,['flop.sol', 'join.sol', 'flip.sol']
4,['flop.sol', 'flip.t.sol', 'frob.t.sol']
4,['flop.sol', 'flip.t.sol', 'tune.sol']
5,['flop.sol', 'flip.t.sol', 'bite.sol']
4,['flop.sol', 'flop.t.sol', 'flap.t.sol']
5,['flop.sol', 'flop.t.sol', 'heal.sol']
5,['flop.sol', 'flop.t.sol', 'heal.t.sol']
6,['flop.sol', 'flop.t.sol', 'flap.sol']
3,['flop.sol', 'flop.t.sol', 'frob.t.sol']
4,['flop.sol', 'flop.t.sol', 'tune.sol']
5,['flop.sol', 'flop.t.sol', 'bite.sol']
5,['flop.sol', 'flap.t.sol', 'heal.sol']
5,['flop.sol', 'flap.t.sol', 'heal.t.sol']
6,['flop.sol', 'flap.t.sol', 'flap.sol']
3,['flop.sol', 'flap.t.sol', 'frob.t.sol']
4,['flop.sol', 'flap.t.sol', 'tune.sol']
5,['flop.sol', 'flap.t.sol', 'bite.sol']
6,['flop.sol', 'heal.sol', 'heal.t.sol']
5,['flop.sol', 'heal.sol', 'flap.sol']
4,['flop.sol', 'heal.sol', 'frob.t.sol']
4,['flop.sol', 'heal.sol', 'tune.sol']
6,['flop.sol', 'heal.sol', 'bite.sol']
5,['flop.sol', 'heal.t.sol', 'flap.sol']
4,['flop.sol', 'heal.t.sol', 'frob.t.sol']
5,['flop.sol', 'heal.t.sol', 'tune.sol']
6,['flop.sol', 'heal.t.sol', 'bite.sol']
4,['flop.sol', 'flap.sol', 'frob.t.sol']
5,['flop.sol', 'flap.sol', 'tune.sol']
6,['flop.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'frob.t.sol', 'tune.sol']
4,['flop.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'tune.sol', 'bite.sol']
2,['join.sol', 'flip.sol', 'transferFrom.sol']
5,['join.sol', 'flip.sol', 'frob.sol']
4,['join.sol', 'flip.sol', 'flip.t.sol']
8,['join.sol', 'flip.sol', 'flop.t.sol']
8,['join.sol', 'flip.sol', 'flap.t.sol']
6,['join.sol', 'flip.sol', 'heal.sol']
7,['join.sol', 'flip.sol', 'heal.t.sol']
6,['join.sol', 'flip.sol', 'flap.sol']
4,['join.sol', 'flip.sol', 'frob.t.sol']
5,['join.sol', 'flip.sol', 'tune.sol']
5,['join.sol', 'flip.sol', 'bite.sol']
2,['join.sol', 'transferFrom.sol', 'frob.sol']
4,['join.sol', 'transferFrom.sol', 'flip.t.sol']
5,['join.sol', 'transferFrom.sol', 'flop.t.sol']
5,['join.sol', 'transferFrom.sol', 'flap.t.sol']
2,['join.sol', 'transferFrom.sol', 'heal.sol']
4,['join.sol', 'transferFrom.sol', 'heal.t.sol']
2,['join.sol', 'transferFrom.sol', 'flap.sol']
4,['join.sol', 'transferFrom.sol', 'frob.t.sol']
3,['join.sol', 'transferFrom.sol', 'tune.sol']
1,['join.sol', 'transferFrom.sol', 'bite.sol']
4,['join.sol', 'frob.sol', 'flip.t.sol']
5,['join.sol', 'frob.sol', 'flop.t.sol']
5,['join.sol', 'frob.sol', 'flap.t.sol']
7,['join.sol', 'frob.sol', 'heal.sol']
7,['join.sol', 'frob.sol', 'heal.t.sol']
5,['join.sol', 'frob.sol', 'flap.sol']
5,['join.sol', 'frob.sol', 'frob.t.sol']
3,['join.sol', 'frob.sol', 'tune.sol']
2,['join.sol', 'frob.sol', 'bite.sol']
6,['join.sol', 'flip.t.sol', 'flop.t.sol']
6,['join.sol', 'flip.t.sol', 'flap.t.sol']
6,['join.sol', 'flip.t.sol', 'heal.sol']
4,['join.sol', 'flip.t.sol', 'heal.t.sol']
5,['join.sol', 'flip.t.sol', 'flap.sol']
4,['join.sol', 'flip.t.sol', 'frob.t.sol']
5,['join.sol', 'flip.t.sol', 'tune.sol']
4,['join.sol', 'flip.t.sol', 'bite.sol']
5,['join.sol', 'flop.t.sol', 'flap.t.sol']
6,['join.sol', 'flop.t.sol', 'heal.sol']
5,['join.sol', 'flop.t.sol', 'heal.t.sol']
6,['join.sol', 'flop.t.sol', 'flap.sol']
4,['join.sol', 'flop.t.sol', 'frob.t.sol']
4,['join.sol', 'flop.t.sol', 'tune.sol']
4,['join.sol', 'flop.t.sol', 'bite.sol']
6,['join.sol', 'flap.t.sol', 'heal.sol']
4,['join.sol', 'flap.t.sol', 'heal.t.sol']
5,['join.sol', 'flap.t.sol', 'flap.sol']
4,['join.sol', 'flap.t.sol', 'frob.t.sol']
4,['join.sol', 'flap.t.sol', 'tune.sol']
4,['join.sol', 'flap.t.sol', 'bite.sol']
7,['join.sol', 'heal.sol', 'heal.t.sol']
7,['join.sol', 'heal.sol', 'flap.sol']
4,['join.sol', 'heal.sol', 'frob.t.sol']
3,['join.sol', 'heal.sol', 'tune.sol']
5,['join.sol', 'heal.sol', 'bite.sol']
6,['join.sol', 'heal.t.sol', 'flap.sol']
4,['join.sol', 'heal.t.sol', 'frob.t.sol']
4,['join.sol', 'heal.t.sol', 'tune.sol']
5,['join.sol', 'heal.t.sol', 'bite.sol']
4,['join.sol', 'flap.sol', 'frob.t.sol']
5,['join.sol', 'flap.sol', 'tune.sol']
4,['join.sol', 'flap.sol', 'bite.sol']
4,['join.sol', 'frob.t.sol', 'tune.sol']
4,['join.sol', 'frob.t.sol', 'bite.sol']
3,['join.sol', 'tune.sol', 'bite.sol']
3,['flip.sol', 'transferFrom.sol', 'frob.sol']
5,['flip.sol', 'transferFrom.sol', 'flip.t.sol']
8,['flip.sol', 'transferFrom.sol', 'flop.t.sol']
8,['flip.sol', 'transferFrom.sol', 'flap.t.sol']
3,['flip.sol', 'transferFrom.sol', 'heal.sol']
7,['flip.sol', 'transferFrom.sol', 'heal.t.sol']
4,['flip.sol', 'transferFrom.sol', 'flap.sol']
3,['flip.sol', 'transferFrom.sol', 'frob.t.sol']
4,['flip.sol', 'transferFrom.sol', 'tune.sol']
2,['flip.sol', 'transferFrom.sol', 'bite.sol']
4,['flip.sol', 'frob.sol', 'flip.t.sol']
7,['flip.sol', 'frob.sol', 'flop.t.sol']
6,['flip.sol', 'frob.sol', 'flap.t.sol']
6,['flip.sol', 'frob.sol', 'heal.sol']
7,['flip.sol', 'frob.sol', 'heal.t.sol']
5,['flip.sol', 'frob.sol', 'flap.sol']
4,['flip.sol', 'frob.sol', 'frob.t.sol']
5,['flip.sol', 'frob.sol', 'tune.sol']
5,['flip.sol', 'frob.sol', 'bite.sol']
6,['flip.sol', 'flip.t.sol', 'flop.t.sol']
5,['flip.sol', 'flip.t.sol', 'flap.t.sol']
5,['flip.sol', 'flip.t.sol', 'heal.sol']
4,['flip.sol', 'flip.t.sol', 'heal.t.sol']
4,['flip.sol', 'flip.t.sol', 'flap.sol']
5,['flip.sol', 'flip.t.sol', 'frob.t.sol']
4,['flip.sol', 'flip.t.sol', 'tune.sol']
4,['flip.sol', 'flip.t.sol', 'bite.sol']
6,['flip.sol', 'flop.t.sol', 'flap.t.sol']
5,['flip.sol', 'flop.t.sol', 'heal.sol']
5,['flip.sol', 'flop.t.sol', 'heal.t.sol']
7,['flip.sol', 'flop.t.sol', 'flap.sol']
4,['flip.sol', 'flop.t.sol', 'frob.t.sol']
5,['flip.sol', 'flop.t.sol', 'tune.sol']
5,['flip.sol', 'flop.t.sol', 'bite.sol']
5,['flip.sol', 'flap.t.sol', 'heal.sol']
5,['flip.sol', 'flap.t.sol', 'heal.t.sol']
6,['flip.sol', 'flap.t.sol', 'flap.sol']
4,['flip.sol', 'flap.t.sol', 'frob.t.sol']
4,['flip.sol', 'flap.t.sol', 'tune.sol']
5,['flip.sol', 'flap.t.sol', 'bite.sol']
6,['flip.sol', 'heal.sol', 'heal.t.sol']
5,['flip.sol', 'heal.sol', 'flap.sol']
4,['flip.sol', 'heal.sol', 'frob.t.sol']
4,['flip.sol', 'heal.sol', 'tune.sol']
5,['flip.sol', 'heal.sol', 'bite.sol']
5,['flip.sol', 'heal.t.sol', 'flap.sol']
3,['flip.sol', 'heal.t.sol', 'frob.t.sol']
5,['flip.sol', 'heal.t.sol', 'tune.sol']
5,['flip.sol', 'heal.t.sol', 'bite.sol']
4,['flip.sol', 'flap.sol', 'frob.t.sol']
5,['flip.sol', 'flap.sol', 'tune.sol']
5,['flip.sol', 'flap.sol', 'bite.sol']
4,['flip.sol', 'frob.t.sol', 'tune.sol']
4,['flip.sol', 'frob.t.sol', 'bite.sol']
5,['flip.sol', 'tune.sol', 'bite.sol']
5,['transferFrom.sol', 'frob.sol', 'flip.t.sol']
4,['transferFrom.sol', 'frob.sol', 'flop.t.sol']
5,['transferFrom.sol', 'frob.sol', 'flap.t.sol']
4,['transferFrom.sol', 'frob.sol', 'heal.sol']
4,['transferFrom.sol', 'frob.sol', 'heal.t.sol']
2,['transferFrom.sol', 'frob.sol', 'flap.sol']
6,['transferFrom.sol', 'frob.sol', 'frob.t.sol']
3,['transferFrom.sol', 'frob.sol', 'tune.sol']
2,['transferFrom.sol', 'frob.sol', 'bite.sol']
5,['transferFrom.sol', 'flip.t.sol', 'flop.t.sol']
5,['transferFrom.sol', 'flip.t.sol', 'flap.t.sol']
5,['transferFrom.sol', 'flip.t.sol', 'heal.sol']
3,['transferFrom.sol', 'flip.t.sol', 'heal.t.sol']
5,['transferFrom.sol', 'flip.t.sol', 'flap.sol']
5,['transferFrom.sol', 'flip.t.sol', 'frob.t.sol']
4,['transferFrom.sol', 'flip.t.sol', 'tune.sol']
4,['transferFrom.sol', 'flip.t.sol', 'bite.sol']
3,['transferFrom.sol', 'flop.t.sol', 'flap.t.sol']
6,['transferFrom.sol', 'flop.t.sol', 'heal.sol']
3,['transferFrom.sol', 'flop.t.sol', 'heal.t.sol']
3,['transferFrom.sol', 'flop.t.sol', 'flap.sol']
3,['transferFrom.sol', 'flop.t.sol', 'frob.t.sol']
4,['transferFrom.sol', 'flop.t.sol', 'tune.sol']
4,['transferFrom.sol', 'flop.t.sol', 'bite.sol']
5,['transferFrom.sol', 'flap.t.sol', 'heal.sol']
3,['transferFrom.sol', 'flap.t.sol', 'heal.t.sol']
3,['transferFrom.sol', 'flap.t.sol', 'flap.sol']
3,['transferFrom.sol', 'flap.t.sol', 'frob.t.sol']
4,['transferFrom.sol', 'flap.t.sol', 'tune.sol']
3,['transferFrom.sol', 'flap.t.sol', 'bite.sol']
4,['transferFrom.sol', 'heal.sol', 'heal.t.sol']
3,['transferFrom.sol', 'heal.sol', 'flap.sol']
4,['transferFrom.sol', 'heal.sol', 'frob.t.sol']
2,['transferFrom.sol', 'heal.sol', 'tune.sol']
3,['transferFrom.sol', 'heal.sol', 'bite.sol']
6,['transferFrom.sol', 'heal.t.sol', 'flap.sol']
3,['transferFrom.sol', 'heal.t.sol', 'frob.t.sol']
4,['transferFrom.sol', 'heal.t.sol', 'tune.sol']
5,['transferFrom.sol', 'heal.t.sol', 'bite.sol']
3,['transferFrom.sol', 'flap.sol', 'frob.t.sol']
4,['transferFrom.sol', 'flap.sol', 'tune.sol']
2,['transferFrom.sol', 'flap.sol', 'bite.sol']
8,['transferFrom.sol', 'frob.t.sol', 'tune.sol']
4,['transferFrom.sol', 'frob.t.sol', 'bite.sol']
2,['transferFrom.sol', 'tune.sol', 'bite.sol']
5,['frob.sol', 'flip.t.sol', 'flop.t.sol']
5,['frob.sol', 'flip.t.sol', 'flap.t.sol']
5,['frob.sol', 'flip.t.sol', 'heal.sol']
4,['frob.sol', 'flip.t.sol', 'heal.t.sol']
5,['frob.sol', 'flip.t.sol', 'flap.sol']
5,['frob.sol', 'flip.t.sol', 'frob.t.sol']
5,['frob.sol', 'flip.t.sol', 'tune.sol']
5,['frob.sol', 'flip.t.sol', 'bite.sol']
4,['frob.sol', 'flop.t.sol', 'flap.t.sol']
6,['frob.sol', 'flop.t.sol', 'heal.sol']
4,['frob.sol', 'flop.t.sol', 'heal.t.sol']
6,['frob.sol', 'flop.t.sol', 'flap.sol']
4,['frob.sol', 'flop.t.sol', 'frob.t.sol']
4,['frob.sol', 'flop.t.sol', 'tune.sol']
7,['frob.sol', 'flop.t.sol', 'bite.sol']
6,['frob.sol', 'flap.t.sol', 'heal.sol']
4,['frob.sol', 'flap.t.sol', 'heal.t.sol']
6,['frob.sol', 'flap.t.sol', 'flap.sol']
4,['frob.sol', 'flap.t.sol', 'frob.t.sol']
4,['frob.sol', 'flap.t.sol', 'tune.sol']
8,['frob.sol', 'flap.t.sol', 'bite.sol']
6,['frob.sol', 'heal.sol', 'heal.t.sol']
6,['frob.sol', 'heal.sol', 'flap.sol']
4,['frob.sol', 'heal.sol', 'frob.t.sol']
3,['frob.sol', 'heal.sol', 'tune.sol']
6,['frob.sol', 'heal.sol', 'bite.sol']
6,['frob.sol', 'heal.t.sol', 'flap.sol']
4,['frob.sol', 'heal.t.sol', 'frob.t.sol']
4,['frob.sol', 'heal.t.sol', 'tune.sol']
4,['frob.sol', 'heal.t.sol', 'bite.sol']
4,['frob.sol', 'flap.sol', 'frob.t.sol']
4,['frob.sol', 'flap.sol', 'tune.sol']
6,['frob.sol', 'flap.sol', 'bite.sol']
4,['frob.sol', 'frob.t.sol', 'tune.sol']
7,['frob.sol', 'frob.t.sol', 'bite.sol']
3,['frob.sol', 'tune.sol', 'bite.sol']
4,['flip.t.sol', 'flop.t.sol', 'flap.t.sol']
6,['flip.t.sol', 'flop.t.sol', 'heal.sol']
3,['flip.t.sol', 'flop.t.sol', 'heal.t.sol']
6,['flip.t.sol', 'flop.t.sol', 'flap.sol']
3,['flip.t.sol', 'flop.t.sol', 'frob.t.sol']
4,['flip.t.sol', 'flop.t.sol', 'tune.sol']
5,['flip.t.sol', 'flop.t.sol', 'bite.sol']
5,['flip.t.sol', 'flap.t.sol', 'heal.sol']
3,['flip.t.sol', 'flap.t.sol', 'heal.t.sol']
6,['flip.t.sol', 'flap.t.sol', 'flap.sol']
3,['flip.t.sol', 'flap.t.sol', 'frob.t.sol']
4,['flip.t.sol', 'flap.t.sol', 'tune.sol']
5,['flip.t.sol', 'flap.t.sol', 'bite.sol']
4,['flip.t.sol', 'heal.sol', 'heal.t.sol']
5,['flip.t.sol', 'heal.sol', 'flap.sol']
6,['flip.t.sol', 'heal.sol', 'frob.t.sol']
4,['flip.t.sol', 'heal.sol', 'tune.sol']
5,['flip.t.sol', 'heal.sol', 'bite.sol']
4,['flip.t.sol', 'heal.t.sol', 'flap.sol']
3,['flip.t.sol', 'heal.t.sol', 'frob.t.sol']
4,['flip.t.sol', 'heal.t.sol', 'tune.sol']
4,['flip.t.sol', 'heal.t.sol', 'bite.sol']
4,['flip.t.sol', 'flap.sol', 'frob.t.sol']
4,['flip.t.sol', 'flap.sol', 'tune.sol']
5,['flip.t.sol', 'flap.sol', 'bite.sol']
5,['flip.t.sol', 'frob.t.sol', 'tune.sol']
4,['flip.t.sol', 'frob.t.sol', 'bite.sol']
4,['flip.t.sol', 'tune.sol', 'bite.sol']
5,['flop.t.sol', 'flap.t.sol', 'heal.sol']
4,['flop.t.sol', 'flap.t.sol', 'heal.t.sol']
4,['flop.t.sol', 'flap.t.sol', 'flap.sol']
3,['flop.t.sol', 'flap.t.sol', 'frob.t.sol']
5,['flop.t.sol', 'flap.t.sol', 'tune.sol']
5,['flop.t.sol', 'flap.t.sol', 'bite.sol']
5,['flop.t.sol', 'heal.sol', 'heal.t.sol']
5,['flop.t.sol', 'heal.sol', 'flap.sol']
4,['flop.t.sol', 'heal.sol', 'frob.t.sol']
5,['flop.t.sol', 'heal.sol', 'tune.sol']
6,['flop.t.sol', 'heal.sol', 'bite.sol']
5,['flop.t.sol', 'heal.t.sol', 'flap.sol']
3,['flop.t.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.t.sol', 'heal.t.sol', 'tune.sol']
6,['flop.t.sol', 'heal.t.sol', 'bite.sol']
3,['flop.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.t.sol', 'flap.sol', 'tune.sol']
6,['flop.t.sol', 'flap.sol', 'bite.sol']
4,['flop.t.sol', 'frob.t.sol', 'tune.sol']
4,['flop.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.t.sol', 'tune.sol', 'bite.sol']
5,['flap.t.sol', 'heal.sol', 'heal.t.sol']
5,['flap.t.sol', 'heal.sol', 'flap.sol']
4,['flap.t.sol', 'heal.sol', 'frob.t.sol']
5,['flap.t.sol', 'heal.sol', 'tune.sol']
5,['flap.t.sol', 'heal.sol', 'bite.sol']
4,['flap.t.sol', 'heal.t.sol', 'flap.sol']
3,['flap.t.sol', 'heal.t.sol', 'frob.t.sol']
3,['flap.t.sol', 'heal.t.sol', 'tune.sol']
6,['flap.t.sol', 'heal.t.sol', 'bite.sol']
3,['flap.t.sol', 'flap.sol', 'frob.t.sol']
5,['flap.t.sol', 'flap.sol', 'tune.sol']
5,['flap.t.sol', 'flap.sol', 'bite.sol']
4,['flap.t.sol', 'frob.t.sol', 'tune.sol']
4,['flap.t.sol', 'frob.t.sol', 'bite.sol']
4,['flap.t.sol', 'tune.sol', 'bite.sol']
6,['heal.sol', 'heal.t.sol', 'flap.sol']
4,['heal.sol', 'heal.t.sol', 'frob.t.sol']
4,['heal.sol', 'heal.t.sol', 'tune.sol']
5,['heal.sol', 'heal.t.sol', 'bite.sol']
4,['heal.sol', 'flap.sol', 'frob.t.sol']
4,['heal.sol', 'flap.sol', 'tune.sol']
6,['heal.sol', 'flap.sol', 'bite.sol']
4,['heal.sol', 'frob.t.sol', 'tune.sol']
4,['heal.sol', 'frob.t.sol', 'bite.sol']
8,['heal.sol', 'tune.sol', 'bite.sol']
4,['heal.t.sol', 'flap.sol', 'frob.t.sol']
5,['heal.t.sol', 'flap.sol', 'tune.sol']
6,['heal.t.sol', 'flap.sol', 'bite.sol']
3,['heal.t.sol', 'frob.t.sol', 'tune.sol']
4,['heal.t.sol', 'frob.t.sol', 'bite.sol']
4,['heal.t.sol', 'tune.sol', 'bite.sol']
4,['flap.sol', 'frob.t.sol', 'tune.sol']
5,['flap.sol', 'frob.t.sol', 'bite.sol']
4,['flap.sol', 'tune.sol', 'bite.sol']
4,['frob.t.sol', 'tune.sol', 'bite.sol']
