similarity,combination
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol', 'Token677.sol']
42,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol', 'flattened.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'LinkToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'Token677.sol']
32,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol', 'flattened.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
46,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'flattened.sol']
