similarity,combination
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'jug.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'vat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'move.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'jug.t.sol', 'flap.sol']
