similarity,combination
5,['flop.sol']
3,['vow.t.sol']
4,['join.sol']
5,['flip.sol']
5,['vow.sol']
3,['flip.t.sol']
7,['vat.sol']
2,['flop.t.sol']
2,['jug.sol']
4,['cat.sol']
30,['dai.sol']
3,['fork.t.sol']
2,['flap.t.sol']
3,['vat.t.sol']
3,['jug.t.sol']
4,['flap.sol']
6,['dai.t.sol']
