similarity,combination
6,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
42,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'Token677.sol']
34,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol', 'flattened.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'Token677.sol']
47,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'flattened.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
44,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol', 'flattened.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token677.sol']
32,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'flattened.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkStandardToken.sol', 'Token677.sol']
28,['ERC677Token.sol', 'LinkReceiver.sol', 'linkStandardToken.sol', 'flattened.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
51,['ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol', 'flattened.sol']
43,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677.sol', 'flattened.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'linkBasicToken.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
18,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'Token677.sol']
47,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol', 'flattened.sol']
1,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
1,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
1,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
15,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
3,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'Token677.sol']
52,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol', 'flattened.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677.sol']
50,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'flattened.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
12,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'Token677.sol']
54,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'flattened.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
