similarity,combination
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'ERC223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'ERC223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'TokenSale.sol']
