similarity,combination
4,['flip.t.sol', 'flop.t.sol', 'flap.t.sol']
6,['flip.t.sol', 'flop.t.sol', 'flap.sol']
5,['flip.t.sol', 'flop.t.sol', 'frob.t.sol']
6,['flip.t.sol', 'flap.t.sol', 'flap.sol']
5,['flip.t.sol', 'flap.t.sol', 'frob.t.sol']
4,['flip.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.t.sol', 'flap.t.sol', 'flap.sol']
3,['flop.t.sol', 'flap.t.sol', 'frob.t.sol']
3,['flop.t.sol', 'flap.sol', 'frob.t.sol']
3,['flap.t.sol', 'flap.sol', 'frob.t.sol']
