similarity,combination
4,['vow.t.sol', 'vow.sol', 'flip.t.sol']
4,['vow.t.sol', 'vow.sol', 'vat.sol']
3,['vow.t.sol', 'vow.sol', 'flop.t.sol']
5,['vow.t.sol', 'vow.sol', 'jug.sol']
6,['vow.t.sol', 'vow.sol', 'cat.sol']
4,['vow.t.sol', 'vow.sol', 'fork.t.sol']
3,['vow.t.sol', 'vow.sol', 'flap.t.sol']
2,['vow.t.sol', 'vow.sol', 'vat.t.sol']
5,['vow.t.sol', 'vow.sol', 'jug.t.sol']
5,['vow.t.sol', 'vow.sol', 'flap.sol']
4,['vow.t.sol', 'flip.t.sol', 'vat.sol']
1,['vow.t.sol', 'flip.t.sol', 'flop.t.sol']
4,['vow.t.sol', 'flip.t.sol', 'jug.sol']
4,['vow.t.sol', 'flip.t.sol', 'cat.sol']
2,['vow.t.sol', 'flip.t.sol', 'fork.t.sol']
1,['vow.t.sol', 'flip.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'flip.t.sol', 'vat.t.sol']
2,['vow.t.sol', 'flip.t.sol', 'jug.t.sol']
3,['vow.t.sol', 'flip.t.sol', 'flap.sol']
4,['vow.t.sol', 'vat.sol', 'flop.t.sol']
4,['vow.t.sol', 'vat.sol', 'jug.sol']
4,['vow.t.sol', 'vat.sol', 'cat.sol']
5,['vow.t.sol', 'vat.sol', 'fork.t.sol']
4,['vow.t.sol', 'vat.sol', 'flap.t.sol']
2,['vow.t.sol', 'vat.sol', 'vat.t.sol']
4,['vow.t.sol', 'vat.sol', 'jug.t.sol']
4,['vow.t.sol', 'vat.sol', 'flap.sol']
5,['vow.t.sol', 'flop.t.sol', 'jug.sol']
4,['vow.t.sol', 'flop.t.sol', 'cat.sol']
3,['vow.t.sol', 'flop.t.sol', 'fork.t.sol']
2,['vow.t.sol', 'flop.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'flop.t.sol', 'vat.t.sol']
3,['vow.t.sol', 'flop.t.sol', 'jug.t.sol']
4,['vow.t.sol', 'flop.t.sol', 'flap.sol']
6,['vow.t.sol', 'jug.sol', 'cat.sol']
6,['vow.t.sol', 'jug.sol', 'fork.t.sol']
5,['vow.t.sol', 'jug.sol', 'flap.t.sol']
2,['vow.t.sol', 'jug.sol', 'vat.t.sol']
4,['vow.t.sol', 'jug.sol', 'jug.t.sol']
5,['vow.t.sol', 'jug.sol', 'flap.sol']
6,['vow.t.sol', 'cat.sol', 'fork.t.sol']
5,['vow.t.sol', 'cat.sol', 'flap.t.sol']
2,['vow.t.sol', 'cat.sol', 'vat.t.sol']
5,['vow.t.sol', 'cat.sol', 'jug.t.sol']
