similarity,combination
33,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
39,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
32,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
42,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
31,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
32,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
46,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
35,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
45,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
35,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'Token677.sol']
37,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'ERC20.sol']
45,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
51,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
43,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token677.sol']
50,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
30,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
32,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
36,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
46,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'Token677.sol']
45,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
37,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677.sol', 'ERC20.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
26,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'BasicToken.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'Token677.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'ERC20.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
26,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol', 'Token677.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol', 'ERC20.sol']
26,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
29,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol']
27,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
30,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'ERC20.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol', 'Token677.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol', 'ERC20.sol']
27,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol', 'Token677.sol']
30,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
29,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token677.sol', 'ERC20.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol', 'Token677.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol', 'ERC20.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'ERC20.sol']
