similarity,combination
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'Token223.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
19,['Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol']
7,['Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol', 'Token223.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
6,['Standard223Token.sol', 'Token223Receiver.sol', 'StandardToken.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'Token223Receiver.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'Token223Receiver.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'Token223Receiver.sol', 'Token223.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
8,['Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
