similarity,combination
9,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
10,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
19,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
10,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol']
12,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'ERC20.sol', 'Token223.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
11,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
9,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
14,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
9,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
10,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
15,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
12,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
12,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol', 'Token223.sol']
9,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC20.sol']
