similarity,combination
24,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
18,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'RLC.sol']
40,['TokenSpender.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'RLC.sol']
23,['TokenSpender.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
49,['TokenSpender.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
20,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'RLC.sol']
