similarity,combination
4,['flop.sol', 'join.sol', 'tune.sol', 'bite.sol']
3,['flop.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol']
4,['flop.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol']
7,['flop.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol']
7,['flop.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol']
2,['flop.sol', 'flip.sol', 'transferFrom.sol', 'heal.sol']
3,['flop.sol', 'flip.sol', 'transferFrom.sol', 'drip.t.sol']
7,['flop.sol', 'flip.sol', 'transferFrom.sol', 'heal.t.sol']
3,['flop.sol', 'flip.sol', 'transferFrom.sol', 'flap.sol']
4,['flop.sol', 'flip.sol', 'transferFrom.sol', 'drip.sol']
4,['flop.sol', 'flip.sol', 'transferFrom.sol', 'frob.t.sol']
3,['flop.sol', 'flip.sol', 'transferFrom.sol', 'tune.sol']
4,['flop.sol', 'flip.sol', 'transferFrom.sol', 'bite.sol']
3,['flop.sol', 'flip.sol', 'frob.sol', 'flip.t.sol']
5,['flop.sol', 'flip.sol', 'frob.sol', 'flop.t.sol']
5,['flop.sol', 'flip.sol', 'frob.sol', 'flap.t.sol']
2,['flop.sol', 'flip.sol', 'frob.sol', 'heal.sol']
3,['flop.sol', 'flip.sol', 'frob.sol', 'drip.t.sol']
6,['flop.sol', 'flip.sol', 'frob.sol', 'heal.t.sol']
3,['flop.sol', 'flip.sol', 'frob.sol', 'flap.sol']
3,['flop.sol', 'flip.sol', 'frob.sol', 'drip.sol']
4,['flop.sol', 'flip.sol', 'frob.sol', 'frob.t.sol']
3,['flop.sol', 'flip.sol', 'frob.sol', 'tune.sol']
2,['flop.sol', 'flip.sol', 'frob.sol', 'bite.sol']
5,['flop.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol']
5,['flop.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol', 'heal.sol']
3,['flop.sol', 'flip.sol', 'flip.t.sol', 'drip.t.sol']
5,['flop.sol', 'flip.sol', 'flip.t.sol', 'heal.t.sol']
3,['flop.sol', 'flip.sol', 'flip.t.sol', 'flap.sol']
3,['flop.sol', 'flip.sol', 'flip.t.sol', 'drip.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol', 'frob.t.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol', 'tune.sol']
