similarity,combination
3,['ERC677Token.sol', 'Migrations.sol', 'Token677.sol']
51,['ERC677Token.sol', 'Migrations.sol', 'flattened.sol']
6,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
12,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
7,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
1,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
2,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
48,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
6,['ERC677Token.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
12,['ERC677Token.sol', 'linkBasicToken.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkBasicToken.sol', 'Token677.sol']
40,['ERC677Token.sol', 'linkBasicToken.sol', 'flattened.sol']
8,['ERC677Token.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
13,['ERC677Token.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
1,['ERC677Token.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'ERC677Receiver.sol', 'Token677.sol']
55,['ERC677Token.sol', 'ERC677Receiver.sol', 'flattened.sol']
18,['ERC677Token.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
19,['ERC677Token.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20Basic.sol', 'Token677.sol']
50,['ERC677Token.sol', 'linkERC20Basic.sol', 'flattened.sol']
12,['ERC677Token.sol', 'LinkToken.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkToken.sol', 'Token677.sol']
39,['ERC677Token.sol', 'LinkToken.sol', 'flattened.sol']
10,['ERC677Token.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'linkStandardToken.sol', 'Token677.sol']
36,['ERC677Token.sol', 'linkStandardToken.sol', 'flattened.sol']
5,['ERC677Token.sol', 'NotERC677Compatible.sol', 'Token677.sol']
57,['ERC677Token.sol', 'NotERC677Compatible.sol', 'flattened.sol']
49,['ERC677Token.sol', 'Token677.sol', 'flattened.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol']
4,['LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol']
5,['LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol']
5,['LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol']
4,['LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol']
9,['LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
7,['LinkReceiver.sol', 'ERC677.sol', 'Token677.sol']
66,['LinkReceiver.sol', 'ERC677.sol', 'flattened.sol']
2,['LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol']
4,['LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
4,['LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
7,['LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol']
4,['LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
5,['LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
5,['LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol']
4,['LinkReceiver.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
7,['LinkReceiver.sol', 'linkERC20.sol', 'Token677.sol']
59,['LinkReceiver.sol', 'linkERC20.sol', 'flattened.sol']
1,['LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
1,['LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
1,['LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol']
2,['LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
1,['LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
7,['LinkReceiver.sol', 'linkSafeMath.sol', 'LinkToken.sol']
7,['LinkReceiver.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'linkSafeMath.sol', 'Token677.sol']
66,['LinkReceiver.sol', 'linkSafeMath.sol', 'flattened.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Migrations.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
8,['LinkReceiver.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677.sol']
69,['LinkReceiver.sol', 'BasicTokenMock.sol', 'flattened.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Migrations.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['LinkReceiver.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677.sol']
68,['LinkReceiver.sol', 'StandardTokenMock.sol', 'flattened.sol']
