similarity,combination
2,['SafeMath.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'Token223.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC223Basic.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223.sol']
1,['SafeMath.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC223Basic.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC223Basic.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223Basic.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC20.sol', 'Token223.sol']
5,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223BasicToken.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Basic.sol']
5,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'BasicTokenMock.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'StandardTokenMock.sol']
6,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'StandardToken.sol']
4,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'NotERC223Compatible.sol']
5,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'ERC223Receiver.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'Token223ReceiverMock.sol']
7,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'ERC223Basic.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC223BasicToken.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Basic.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
