similarity,combination
22,['Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
29,['Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
14,['Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
12,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
11,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
6,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
26,['UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
5,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol']
4,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
4,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
6,['UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
18,['UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
78,['UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
47,['UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
48,['UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
26,['SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
8,['SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
4,['SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
26,['Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
29,['Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
