similarity,combination
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
5,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
5,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
8,['SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
6,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
19,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
11,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
4,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
