similarity,combination
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'SafeMath.sol']
6,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Finalizable.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'Owned.sol', 'DummyToken.sol']
7,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Ledger.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol']
5,['IToken.sol', 'Controller.sol', 'Token.sol', 'TokenReceivable.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'SafeMath.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'Finalizable.sol']
6,['IToken.sol', 'Controller.sol', 'Token.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'DummyToken.sol']
20,['IToken.sol', 'Controller.sol', 'Token.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'TokenReceivable.sol']
5,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'SafeMath.sol']
5,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'Finalizable.sol']
5,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'DummyToken.sol']
8,['IToken.sol', 'Controller.sol', 'Migrations.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol', 'SafeMath.sol']
6,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol', 'Finalizable.sol']
3,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol', 'DummyToken.sol']
9,['IToken.sol', 'Controller.sol', 'TokenReceivable.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'SafeMath.sol', 'Finalizable.sol']
3,['IToken.sol', 'Controller.sol', 'SafeMath.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'SafeMath.sol', 'DummyToken.sol']
8,['IToken.sol', 'Controller.sol', 'SafeMath.sol', 'Ledger.sol']
4,['IToken.sol', 'Controller.sol', 'Finalizable.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'Controller.sol', 'Finalizable.sol', 'DummyToken.sol']
10,['IToken.sol', 'Controller.sol', 'Finalizable.sol', 'Ledger.sol']
2,['IToken.sol', 'Controller.sol', 'EventDefinitions.sol', 'DummyToken.sol']
9,['IToken.sol', 'Controller.sol', 'EventDefinitions.sol', 'Ledger.sol']
8,['IToken.sol', 'Controller.sol', 'DummyToken.sol', 'Ledger.sol']
