similarity,combination
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Sale.sol']
13,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Ledger.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'SafeMath.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'DummyMock.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'LedgerMock.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'Finalizable.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'EventDefinitions.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'ControllerMock.sol', 'Ledger.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'DummyMock.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'LedgerMock.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'Finalizable.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'EventDefinitions.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'Savings.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'Sale.sol']
8,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'Ledger.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'LedgerMock.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'Finalizable.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'EventDefinitions.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyMock.sol', 'Ledger.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'Finalizable.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'EventDefinitions.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'LedgerMock.sol', 'Ledger.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'EventDefinitions.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'Sale.sol']
11,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol', 'Ledger.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol', 'Savings.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol', 'DummyToken.sol']
2,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol', 'Sale.sol']
10,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol', 'Ledger.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'Savings.sol']
