similarity,combination
1,['SavingsMock.sol', 'Token.sol', 'DummyMock.sol']
1,['SavingsMock.sol', 'Token.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'Token.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'Token.sol', 'EventDefinitions.sol']
0,['SavingsMock.sol', 'Token.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'Token.sol', 'Savings.sol']
0,['SavingsMock.sol', 'Token.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'Token.sol', 'Sale.sol']
5,['SavingsMock.sol', 'Token.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'Migrations.sol', 'Receiver.sol']
1,['SavingsMock.sol', 'Migrations.sol', 'TokenReceivable.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'ControllerMock.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'SafeMath.sol']
1,['SavingsMock.sol', 'Migrations.sol', 'DummyMock.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'LedgerMock.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'Migrations.sol', 'EventDefinitions.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'Migrations.sol', 'Savings.sol']
0,['SavingsMock.sol', 'Migrations.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'Migrations.sol', 'Sale.sol']
6,['SavingsMock.sol', 'Migrations.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'TokenReceivable.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'ControllerMock.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'SafeMath.sol']
2,['SavingsMock.sol', 'Receiver.sol', 'DummyMock.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'Receiver.sol', 'Savings.sol']
0,['SavingsMock.sol', 'Receiver.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'Receiver.sol', 'Sale.sol']
5,['SavingsMock.sol', 'Receiver.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'ControllerMock.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'SafeMath.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'DummyMock.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'TokenReceivable.sol', 'Savings.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol', 'Sale.sol']
5,['SavingsMock.sol', 'TokenReceivable.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'ControllerMock.sol', 'SafeMath.sol']
1,['SavingsMock.sol', 'ControllerMock.sol', 'DummyMock.sol']
0,['SavingsMock.sol', 'ControllerMock.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'ControllerMock.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'ControllerMock.sol', 'EventDefinitions.sol']
0,['SavingsMock.sol', 'ControllerMock.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'ControllerMock.sol', 'Savings.sol']
0,['SavingsMock.sol', 'ControllerMock.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'ControllerMock.sol', 'Sale.sol']
5,['SavingsMock.sol', 'ControllerMock.sol', 'Ledger.sol']
2,['SavingsMock.sol', 'SafeMath.sol', 'DummyMock.sol']
1,['SavingsMock.sol', 'SafeMath.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'SafeMath.sol', 'Finalizable.sol']
2,['SavingsMock.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'SafeMath.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'SafeMath.sol', 'Savings.sol']
1,['SavingsMock.sol', 'SafeMath.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'SafeMath.sol', 'Sale.sol']
4,['SavingsMock.sol', 'SafeMath.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'DummyMock.sol', 'Savings.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'DummyMock.sol', 'Sale.sol']
