similarity,combination
4,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
9,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
11,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
11,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
10,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
9,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
9,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
8,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
11,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
10,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
10,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
