similarity,combination
2,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
21,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
6,['SafeMathMock.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
7,['SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
7,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AdminUpgradeabilityProxy.sol']
13,['StablecoinWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['StablecoinImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
