similarity,combination
6,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
18,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
58,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
83,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
38,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
27,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
25,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
7,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
