similarity,combination
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol', 'Migrations.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol', 'Migrations.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleFlat.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
