similarity,combination
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'lib.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'lib.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'jug.t.sol']
