similarity,combination
4,['flop.sol']
1,['join.sol']
2,['flip.sol']
1,['transferFrom.sol']
3,['frob.sol']
5,['flip.t.sol']
4,['flop.t.sol']
4,['flap.t.sol']
3,['heal.sol']
4,['heal.t.sol']
5,['flap.sol']
4,['frob.t.sol']
5,['tune.sol']
2,['bite.sol']
