similarity,combination
14,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
10,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
8,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'ERC20.sol']
4,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol']
5,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
14,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
12,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
5,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
4,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
6,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
10,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
8,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
