similarity,combination
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
2,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'Token677.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'ERC20.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token677.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'Token677.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'Token677.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'StandardToken.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'LinkToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicToken.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'Token677.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol', 'ERC20.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol', 'ERC20.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'LinkToken.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'BasicToken.sol']
