similarity,combination
6,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
5,['BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
8,['BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['BasicTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
7,['BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['BasicTokenMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'Token677.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
9,['BasicTokenMock.sol', 'Token677.sol', 'ERC20.sol']
8,['StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
5,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
10,['StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['StandardTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
11,['StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['StandardTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
10,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
2,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
5,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
4,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
6,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
2,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
6,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
2,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
5,['StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
8,['StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
6,['StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['StandardTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
2,['StandardTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['StandardTokenMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'Token677.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
8,['StandardTokenMock.sol', 'Token677.sol', 'ERC20.sol']
4,['StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
9,['StandardToken.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
4,['StandardToken.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
13,['StandardToken.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
6,['StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
11,['StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
6,['StandardToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
6,['StandardToken.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'ERC677Receiver.sol', 'Token677.sol']
8,['StandardToken.sol', 'ERC677Receiver.sol', 'ERC20.sol']
11,['StandardToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
20,['StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'LinkToken.sol', 'Token677.sol']
13,['StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
11,['StandardToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
10,['StandardToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
16,['StandardToken.sol', 'BasicToken.sol', 'Token677.sol']
15,['StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
19,['StandardToken.sol', 'Token677.sol', 'ERC20.sol']
5,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
1,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
3,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
7,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
4,['Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
6,['Token677ReceiverMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Token677ReceiverMock.sol', 'LinkToken.sol', 'Token677.sol']
6,['Token677ReceiverMock.sol', 'LinkToken.sol', 'ERC20.sol']
6,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
3,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
6,['Token677ReceiverMock.sol', 'BasicToken.sol', 'Token677.sol']
5,['Token677ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
6,['Token677ReceiverMock.sol', 'Token677.sol', 'ERC20.sol']
6,['ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
7,['ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
8,['ERC677Receiver.sol', 'LinkToken.sol', 'ERC20.sol']
6,['ERC677Receiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
1,['ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['ERC677Receiver.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
7,['ERC677Receiver.sol', 'BasicToken.sol', 'Token677.sol']
8,['ERC677Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
1,['ERC677Receiver.sol', 'Token677.sol', 'ERC20.sol']
8,['LinkToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
9,['LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['LinkToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
8,['LinkToken.sol', 'BasicToken.sol', 'Token677.sol']
10,['LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
7,['LinkToken.sol', 'Token677.sol', 'ERC20.sol']
7,['NotERC677Compatible.sol', 'BasicToken.sol', 'Token677.sol']
2,['NotERC677Compatible.sol', 'BasicToken.sol', 'ERC20.sol']
5,['NotERC677Compatible.sol', 'Token677.sol', 'ERC20.sol']
3,['BasicToken.sol', 'Token677.sol', 'ERC20.sol']
