similarity,combination
2,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'NotERC677Compatible.sol', 'Token677.sol']
1,['SafeMath.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicToken.sol', 'Token677.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Token677.sol', 'ERC20.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'BasicToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC20.sol']
13,['ERC677Token.sol', 'ERC677.sol', 'ERC20Basic.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol']
12,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol']
2,['ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'BasicToken.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'Token677.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'ERC20.sol']
7,['ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
9,['ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
20,['ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol']
12,['ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
11,['ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
17,['ERC677Token.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'ERC20Basic.sol', 'BasicToken.sol']
10,['ERC677Token.sol', 'ERC20Basic.sol', 'Token677.sol']
14,['ERC677Token.sol', 'ERC20Basic.sol', 'ERC20.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
1,['ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['ERC677Token.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['ERC677Token.sol', 'BasicTokenMock.sol', 'Token677.sol']
6,['ERC677Token.sol', 'BasicTokenMock.sol', 'ERC20.sol']
9,['ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
1,['ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
11,['ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
