similarity,combination
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'ERC20Basic.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkToken.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'TokenSale.sol', 'ERC20.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
12,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'ERC20Basic.sol', 'TokenSale.sol']
3,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
1,['LinkReceiver.sol', 'LinkToken.sol', 'TokenSale.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
6,['LinkReceiver.sol', 'TokenSale.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
13,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
10,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol']
7,['ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
12,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
6,['BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
5,['BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
7,['StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
5,['StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
5,['StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
13,['StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
4,['StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
6,['LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
8,['LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
5,['LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
