similarity,combination
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol', 'Token223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol', 'Token223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'ERC223.sol']
4,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol', 'Token223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol', 'Token223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
3,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol', 'Token223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Token223ReceiverMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
11,['Ownable.sol', 'SafeMath.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicToken.sol', 'Token223.sol']
8,['Ownable.sol', 'SafeMath.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'TokenSale.sol', 'Token223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
10,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'TokenSale.sol']
9,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
12,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol']
10,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'TokenSale.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'StandardToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'ERC223.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'ERC20.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol', 'Token223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC20.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
9,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
11,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'ERC20.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol', 'Token223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
9,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol', 'Token223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
9,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol', 'Token223.sol']
8,['Ownable.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Ownable.sol', 'Standard223Token.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'BasicToken.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'TokenSale.sol', 'ERC20.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'TokenSale.sol', 'Token223.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'ERC20.sol', 'Token223.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
11,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
9,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
12,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'TokenSale.sol']
12,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'BasicToken.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'TokenSale.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC20.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'Token223.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
5,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
4,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'TokenSale.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token223.sol']
