similarity,combination
14,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
13,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
21,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
17,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'Token223.sol']
18,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol', 'Token223.sol']
20,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
25,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
22,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
22,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
20,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Token223.sol']
