similarity,combination
4,['ERC677Token.sol']
2,['LinkReceiver.sol']
9,['ERC677.sol']
4,['linkERC20.sol']
2,['linkSafeMath.sol']
7,['BasicTokenMock.sol']
0,['StandardTokenMock.sol']
2,['Token677ReceiverMock.sol']
2,['linkBasicToken.sol']
5,['ERC677Receiver.sol']
4,['linkERC20Basic.sol']
5,['LinkToken.sol']
2,['linkStandardToken.sol']
2,['NotERC677Compatible.sol']
1,['Token677.sol']
94,['flattened.sol']
