similarity,combination
3,['flop.sol']
2,['vow.t.sol']
1,['join.sol']
4,['flip.sol']
5,['vow.sol']
4,['flip.t.sol']
3,['vat.sol']
3,['flop.t.sol']
2,['jug.sol']
4,['cat.sol']
2,['fork.t.sol']
2,['flap.t.sol']
2,['vat.t.sol']
4,['jug.t.sol']
4,['flap.sol']
