similarity,combination
4,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol']
4,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
4,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
9,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
10,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
6,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
10,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
2,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
4,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol']
10,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
5,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
10,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
5,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
10,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
6,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'Migrations.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinEventInterface.sol', 'StablecoinProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
