similarity,combination
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'ControllerMock.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Savings.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Receiver.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'SavingsMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'EventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'DummyMock.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Migrations.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'TokenReceivable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Receiver.sol']
7,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Ledger.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Sale.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'LedgerMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'SavingsMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'EventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Finalizable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'Pausable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'ControllerEventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Savings.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'TokenReceivable.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'Receiver.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'Pausable.sol']
