similarity,combination
4,['ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
2,['ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'Token677.sol']
3,['ERC677.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
4,['ERC677.sol', 'Migrations.sol', 'linkBasicToken.sol']
3,['ERC677.sol', 'Migrations.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'Migrations.sol', 'linkERC20Basic.sol']
3,['ERC677.sol', 'Migrations.sol', 'LinkToken.sol']
4,['ERC677.sol', 'Migrations.sol', 'linkStandardToken.sol']
2,['ERC677.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
2,['ERC677.sol', 'Migrations.sol', 'Token677.sol']
4,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
4,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
3,['ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
6,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
2,['ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
5,['ERC677.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
4,['ERC677.sol', 'linkBasicToken.sol', 'LinkToken.sol']
7,['ERC677.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
4,['ERC677.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'linkBasicToken.sol', 'Token677.sol']
7,['ERC677.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
4,['ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['ERC677.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
1,['ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
1,['ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
8,['ERC677.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
5,['ERC677.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
8,['ERC677.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
8,['ERC677.sol', 'linkERC20Basic.sol', 'Token677.sol']
5,['ERC677.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'LinkToken.sol', 'Token677.sol']
4,['ERC677.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
5,['ERC677.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
1,['linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol']
7,['linkERC20.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
3,['linkERC20.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
3,['linkERC20.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['linkERC20.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
4,['linkERC20.sol', 'linkSafeMath.sol', 'LinkToken.sol']
1,['linkERC20.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'Token677.sol']
4,['linkERC20.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['linkERC20.sol', 'BasicTokenMock.sol', 'Migrations.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
5,['linkERC20.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
8,['linkERC20.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'Token677.sol']
6,['linkERC20.sol', 'StandardTokenMock.sol', 'Migrations.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['linkERC20.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
4,['linkERC20.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
4,['linkERC20.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['linkERC20.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
2,['linkERC20.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol', 'Token677.sol']
6,['linkERC20.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
8,['linkERC20.sol', 'Migrations.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'Migrations.sol', 'ERC677Receiver.sol']
7,['linkERC20.sol', 'Migrations.sol', 'linkERC20Basic.sol']
5,['linkERC20.sol', 'Migrations.sol', 'LinkToken.sol']
6,['linkERC20.sol', 'Migrations.sol', 'linkStandardToken.sol']
6,['linkERC20.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
6,['linkERC20.sol', 'Migrations.sol', 'Token677.sol']
8,['linkERC20.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
8,['linkERC20.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
7,['linkERC20.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
7,['linkERC20.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
7,['linkERC20.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
8,['linkERC20.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
2,['linkERC20.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
3,['linkERC20.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
8,['linkERC20.sol', 'linkBasicToken.sol', 'LinkToken.sol']
9,['linkERC20.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
2,['linkERC20.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
2,['linkERC20.sol', 'linkBasicToken.sol', 'Token677.sol']
3,['linkERC20.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
6,['linkERC20.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['linkERC20.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
4,['linkERC20.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
4,['linkERC20.sol', 'ERC677Receiver.sol', 'Token677.sol']
9,['linkERC20.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
15,['linkERC20.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
6,['linkERC20.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
8,['linkERC20.sol', 'linkERC20Basic.sol', 'Token677.sol']
8,['linkERC20.sol', 'LinkToken.sol', 'linkStandardToken.sol']
6,['linkERC20.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
6,['linkERC20.sol', 'LinkToken.sol', 'Token677.sol']
7,['linkERC20.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
7,['linkERC20.sol', 'linkStandardToken.sol', 'Token677.sol']
5,['linkERC20.sol', 'NotERC677Compatible.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol']
2,['linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
2,['linkSafeMath.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
2,['linkSafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
3,['linkSafeMath.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
3,['linkSafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol']
2,['linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
3,['linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
3,['linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
2,['linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677.sol']
3,['linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
1,['linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol']
2,['linkSafeMath.sol', 'Migrations.sol', 'ERC677Receiver.sol']
2,['linkSafeMath.sol', 'Migrations.sol', 'linkERC20Basic.sol']
3,['linkSafeMath.sol', 'Migrations.sol', 'LinkToken.sol']
7,['linkSafeMath.sol', 'Migrations.sol', 'linkStandardToken.sol']
2,['linkSafeMath.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
2,['linkSafeMath.sol', 'Migrations.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
2,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
2,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
3,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
2,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
2,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
2,['linkSafeMath.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
3,['linkSafeMath.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
4,['linkSafeMath.sol', 'linkBasicToken.sol', 'LinkToken.sol']
1,['linkSafeMath.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
1,['linkSafeMath.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
2,['linkSafeMath.sol', 'linkBasicToken.sol', 'Token677.sol']
2,['linkSafeMath.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
2,['linkSafeMath.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
4,['linkSafeMath.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
1,['linkSafeMath.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
1,['linkSafeMath.sol', 'ERC677Receiver.sol', 'Token677.sol']
3,['linkSafeMath.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
9,['linkSafeMath.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
3,['linkSafeMath.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
5,['linkSafeMath.sol', 'linkERC20Basic.sol', 'Token677.sol']
12,['linkSafeMath.sol', 'LinkToken.sol', 'linkStandardToken.sol']
3,['linkSafeMath.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
3,['linkSafeMath.sol', 'LinkToken.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
2,['linkSafeMath.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['linkSafeMath.sol', 'NotERC677Compatible.sol', 'Token677.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Migrations.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
4,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677.sol']
2,['BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
6,['BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol']
2,['BasicTokenMock.sol', 'Migrations.sol', 'ERC677Receiver.sol']
8,['BasicTokenMock.sol', 'Migrations.sol', 'linkERC20Basic.sol']
4,['BasicTokenMock.sol', 'Migrations.sol', 'LinkToken.sol']
4,['BasicTokenMock.sol', 'Migrations.sol', 'linkStandardToken.sol']
4,['BasicTokenMock.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
2,['BasicTokenMock.sol', 'Migrations.sol', 'Token677.sol']
4,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
2,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
9,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
4,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
8,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
3,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
4,['BasicTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
7,['BasicTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
5,['BasicTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol']
6,['BasicTokenMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
5,['BasicTokenMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['BasicTokenMock.sol', 'linkBasicToken.sol', 'Token677.sol']
4,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
3,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
2,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
3,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['BasicTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
12,['BasicTokenMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
7,['BasicTokenMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['BasicTokenMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
8,['BasicTokenMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['BasicTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
5,['BasicTokenMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
8,['BasicTokenMock.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['BasicTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
2,['StandardTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
5,['StandardTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol']
2,['StandardTokenMock.sol', 'Migrations.sol', 'ERC677Receiver.sol']
7,['StandardTokenMock.sol', 'Migrations.sol', 'linkERC20Basic.sol']
4,['StandardTokenMock.sol', 'Migrations.sol', 'LinkToken.sol']
3,['StandardTokenMock.sol', 'Migrations.sol', 'linkStandardToken.sol']
3,['StandardTokenMock.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
2,['StandardTokenMock.sol', 'Migrations.sol', 'Token677.sol']
4,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
9,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
7,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
3,['StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
4,['StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
7,['StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
6,['StandardTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol']
5,['StandardTokenMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
4,['StandardTokenMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['StandardTokenMock.sol', 'linkBasicToken.sol', 'Token677.sol']
1,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
4,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
1,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
3,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
5,['StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
11,['StandardTokenMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
4,['StandardTokenMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
4,['StandardTokenMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
7,['StandardTokenMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
5,['StandardTokenMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
5,['StandardTokenMock.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['StandardTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
4,['Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
2,['Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
7,['Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
4,['Migrations.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['Migrations.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['Migrations.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
3,['Migrations.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
3,['Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
9,['Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
6,['Migrations.sol', 'linkBasicToken.sol', 'LinkToken.sol']
5,['Migrations.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
5,['Migrations.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['Migrations.sol', 'linkBasicToken.sol', 'Token677.sol']
5,['Migrations.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
3,['Migrations.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
4,['Migrations.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
2,['Migrations.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
2,['Migrations.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['Migrations.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
10,['Migrations.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
7,['Migrations.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
6,['Migrations.sol', 'linkERC20Basic.sol', 'Token677.sol']
9,['Migrations.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['Migrations.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['Migrations.sol', 'LinkToken.sol', 'Token677.sol']
3,['Migrations.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
4,['Migrations.sol', 'linkStandardToken.sol', 'Token677.sol']
2,['Migrations.sol', 'NotERC677Compatible.sol', 'Token677.sol']
4,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
9,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
5,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol']
11,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
5,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
6,['Token677ReceiverMock.sol', 'linkBasicToken.sol', 'Token677.sol']
5,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
3,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
6,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
1,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
1,['Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
13,['Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
7,['Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
6,['Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
8,['Token677ReceiverMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
5,['Token677ReceiverMock.sol', 'LinkToken.sol', 'Token677.sol']
4,['Token677ReceiverMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
8,['Token677ReceiverMock.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
3,['linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
4,['linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
5,['linkBasicToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['linkBasicToken.sol', 'ERC677Receiver.sol', 'Token677.sol']
8,['linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
13,['linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
6,['linkBasicToken.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['linkBasicToken.sol', 'linkERC20Basic.sol', 'Token677.sol']
12,['linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol']
6,['linkBasicToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
6,['linkBasicToken.sol', 'LinkToken.sol', 'Token677.sol']
5,['linkBasicToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
11,['linkBasicToken.sol', 'linkStandardToken.sol', 'Token677.sol']
3,['linkBasicToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
5,['ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
7,['ERC677Receiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
6,['ERC677Receiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
6,['ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
4,['ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
4,['ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
4,['ERC677Receiver.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
11,['linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
6,['linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
5,['linkERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
11,['linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
11,['linkERC20Basic.sol', 'linkStandardToken.sol', 'Token677.sol']
4,['linkERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
9,['LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
4,['LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
5,['linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
