similarity,combination
4,['flop.sol']
1,['join.sol']
2,['flip.sol']
1,['transferFrom.sol']
2,['frob.sol']
5,['flip.t.sol']
4,['flop.t.sol']
4,['flap.t.sol']
3,['heal.sol']
6,['drip.t.sol']
5,['heal.t.sol']
5,['flap.sol']
2,['drip.sol']
3,['frob.t.sol']
5,['tune.sol']
2,['bite.sol']
