similarity,combination
2,['Ownable.sol', 'Standard223TokenExample.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223TokenExample.sol', 'TokenSale.sol']
5,['Ownable.sol', 'Standard223TokenExample.sol', 'ERC20.sol']
2,['Ownable.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'LinkReceiver.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverTest.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Receiver.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'SmartOracle.sol']
3,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'StandardToken.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'ERC223.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'ERC20.sol']
2,['Ownable.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverMock.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'SmartOracle.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
