similarity,combination
2,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'move.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'heal.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'drip.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'frob.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'tune.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'flap.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'heal.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'drip.t.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'heal.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'drip.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'frob.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'move.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'heal.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'drip.t.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'drip.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'frob.t.sol']
