similarity,combination
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol', 'flattened.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
49,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'flattened.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'flattened.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol', 'flattened.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
60,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol', 'flattened.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'flattened.sol']
