token,similarity,timestamp
,98,2018-09-21 09:24:54
,98,2018-10-07 07:26:54
,98,2018-10-26 15:26:16
,98,2018-10-26 15:48:22
,98,2018-11-08 09:34:00
,98,2019-10-07 13:57:31
,98,2020-01-29 14:42:58
,98,2020-01-30 09:27:53
,98,2020-01-30 10:51:28
,98,2020-02-04 15:45:20
Paxos-Standard, ,  
,,2018-05-09 13:35:50
,2,2018-05-10 16:49:52
,2,2018-05-10 16:50:27
,3,2018-05-10 16:51:04
TrueUSD, ,  
,,2018-09-18 10:39:20
,,2018-10-02 11:12:36
,,2018-10-08 11:50:25
,,2018-10-09 16:42:20
Reputation, ,  
,1,2018-09-01 13:21:54
,6,2018-09-01 14:17:00
KyberNetwork, ,  
,8,2018-05-28 15:05:35
,8,2018-05-29 14:14:46
,9,2018-05-29 14:14:57
,9,2018-05-30 05:46:09
,9,2018-05-30 08:09:01
,9,2018-05-31 02:59:29
,9,2018-06-06 09:55:59
,9,2018-06-06 09:58:53
,9,2018-06-15 07:44:29
,9,2018-06-29 11:59:07
,9,2018-06-29 12:02:08
,9,2018-06-29 12:02:08
,9,2018-06-29 12:02:08
,9,2018-06-29 12:02:08
,9,2018-06-29 12:02:08
,9,2018-07-03 08:44:04
,9,2018-07-04 04:16:45
,9,2018-07-04 04:22:33
,10,2018-07-05 09:17:00
,10,2018-07-05 09:23:44
,10,2018-07-05 09:24:24
,10,2018-07-17 16:14:53
,10,2018-08-04 16:08:50
,10,2018-08-04 16:12:46
,10,2018-08-04 16:16:35
,10,2018-08-04 16:16:37
,10,2018-08-05 10:35:07
,10,2018-08-06 11:07:46
,10,2018-08-06 11:18:33
,10,2018-08-06 11:28:45
,10,2018-08-06 11:43:26
,10,2018-08-06 11:57:05
,10,2018-08-06 13:31:37
,10,2018-08-06 13:40:09
,10,2018-08-09 12:42:53
,10,2018-08-09 12:43:39
,10,2018-08-09 12:57:12
,10,2018-08-09 13:07:11
,10,2018-08-09 13:33:49
,10,2018-08-09 13:43:07
,10,2018-08-09 13:53:13
,10,2018-08-10 08:08:27
,11,2018-08-10 08:20:52
,11,2018-08-10 10:58:50
,11,2018-08-20 05:13:45
,11,2018-08-20 06:08:03
,11,2018-08-21 10:26:32
,11,2018-08-21 10:26:35
,11,2018-08-21 10:59:28
,11,2018-08-21 11:08:29
,11,2018-08-21 11:33:53
,11,2018-08-21 12:21:12
,11,2018-08-21 12:25:23
,11,2018-08-21 12:31:42
,11,2018-08-22 02:41:43
,11,2018-08-22 02:52:50
,11,2018-08-22 02:58:25
,11,2018-08-22 10:24:25
,11,2018-08-23 07:26:40
,11,2018-08-23 09:00:40
,11,2018-08-23 09:00:40
,11,2018-08-23 14:33:05
,11,2018-08-23 15:37:01
,11,2018-08-24 10:06:50
,11,2018-08-24 11:24:21
,11,2018-08-24 11:51:47
,11,2018-08-24 12:21:10
,11,2018-08-24 12:21:10
,11,2018-08-24 12:21:10
,11,2018-08-24 12:21:10
,11,2018-08-24 12:21:10
,11,2018-08-24 12:21:10
,11,2018-08-24 12:36:17
,11,2018-08-24 13:52:32
,11,2018-08-25 12:00:18
,11,2018-08-25 13:18:23
,11,2018-08-25 14:12:21
,11,2018-08-26 10:49:59
,11,2018-08-26 14:07:50
,11,2018-08-26 14:54:40
,11,2018-08-26 15:58:13
,11,2018-08-26 16:25:30
,11,2018-08-27 07:28:49
,11,2018-08-27 07:32:10
,11,2018-08-27 07:46:47
,11,2018-08-27 08:20:28
,11,2018-08-27 18:46:43
,11,2018-08-27 18:47:25
,11,2018-08-27 18:50:42
,11,2018-08-27 18:54:12
,11,2018-08-27 18:55:56
,11,2018-08-27 19:52:43
,11,2018-08-27 19:54:28
,11,2018-08-27 19:55:57
,11,2018-08-27 20:25:38
,11,2018-08-27 20:34:04
,11,2018-08-27 20:35:50
,11,2018-08-27 22:19:24
,11,2018-08-28 05:08:00
,11,2018-08-28 05:08:00
,11,2018-08-28 05:08:00
,11,2018-08-28 14:01:43
,11,2018-08-29 04:37:40
,11,2018-08-29 05:22:01
,11,2018-08-29 08:00:46
,11,2018-08-29 13:08:26
,11,2018-08-31 11:13:44
,11,2018-09-01 06:19:36
,11,2018-09-03 17:24:11
,11,2018-09-05 14:05:06
,11,2018-09-05 14:29:22
,11,2018-09-05 15:50:47
,11,2018-09-06 12:17:58
,11,2018-09-10 15:10:00
,11,2018-09-10 15:10:00
,11,2018-09-10 15:10:00
,11,2018-09-10 15:10:00
,11,2018-09-10 15:10:00
,11,2018-09-10 15:10:00
,11,2018-09-13 14:14:03
,11,2018-09-17 18:33:49
,11,2018-09-17 19:36:22
,11,2018-10-10 11:43:37
,11,2018-10-10 13:25:00
,11,2018-10-10 16:33:25
,11,2018-10-10 17:54:12
,11,2018-10-16 14:11:21
,11,2018-10-16 14:30:12
,11,2018-10-16 14:43:39
,11,2018-10-16 14:44:49
,11,2018-10-16 14:48:25
,11,2018-10-16 14:57:21
,11,2018-10-16 15:05:02
,11,2018-10-16 16:42:36
,11,2018-10-17 12:44:06
,11,2018-10-17 23:26:28
,11,2018-10-18 18:23:09
,11,2018-10-19 16:21:23
,11,2018-10-19 16:24:05
,11,2018-10-26 16:24:44
,11,2018-11-16 15:22:31
,11,2018-11-22 09:06:11
,11,2018-11-22 09:06:11
,11,2018-11-22 09:12:17
,11,2018-11-22 09:16:36
,11,2018-11-23 10:43:10
,11,2018-11-23 10:43:58
,11,2018-11-23 10:50:49
,11,2018-11-23 14:35:46
,11,2018-11-24 07:40:27
,11,2018-11-27 15:44:40
,11,2018-12-01 08:30:08
,11,2018-12-01 08:30:11
,11,2018-12-01 08:30:35
,11,2018-12-01 08:51:15
,11,2018-12-01 15:57:15
,11,2018-12-03 10:30:29
,11,2018-12-03 10:30:37
,11,2018-12-03 10:30:47
,11,2018-12-05 23:54:30
,11,2018-12-12 15:29:48
,11,2018-12-12 16:05:30
,11,2018-12-17 18:02:43
,11,2018-12-20 13:33:04
,11,2019-01-10 16:38:13
,11,2019-01-11 17:03:14
,11,2019-01-14 18:23:58
,11,2019-01-16 15:45:23
,11,2019-01-17 15:29:16
,11,2019-02-05 16:08:07
,11,2019-02-05 18:46:35
,11,2019-02-05 18:46:35
,11,2019-02-21 03:16:29
,11,2019-02-21 14:22:41
,11,2019-02-27 08:33:58
,11,2019-02-27 08:33:58
,11,2019-02-27 08:33:58
,11,2019-02-27 08:33:58
,11,2019-02-27 08:33:58
,11,2019-02-27 08:33:58
,11,2019-02-28 01:10:29
,11,2019-03-06 17:01:27
,11,2019-03-06 17:03:11
,11,2019-03-06 19:21:26
,11,2019-03-18 09:36:14
,11,2019-03-18 09:36:14
,11,2019-03-19 17:36:12
,11,2019-03-20 21:41:34
,11,2019-03-21 11:03:20
,11,2019-03-27 11:07:36
,11,2019-03-27 10:09:16
,11,2019-03-27 11:49:47
,11,2019-03-27 17:41:10
,11,2019-04-02 20:32:19
,11,2019-04-02 20:32:19
,30,2019-04-02 20:37:14
,39,2019-04-02 20:45:26
,42,2019-04-04 09:54:20
,42,2019-04-19 18:20:08
,42,2019-04-23 23:47:53
,42,2019-04-30 03:49:47
,42,2019-05-01 19:36:16
,42,2019-05-07 19:33:35
,42,2019-05-07 19:33:35
,42,2019-05-07 19:33:35
,42,2019-05-07 18:13:53
,42,2019-05-09 19:31:42
,42,2019-05-10 15:50:57
,42,2019-05-10 17:14:08
,42,2019-05-10 18:05:23
,42,2019-05-13 14:48:29
,42,2019-05-13 14:50:53
,42,2019-05-14 13:26:44
,42,2019-05-14 20:06:50
,42,2019-05-15 15:07:57
,42,2019-05-25 08:41:22
,42,2019-05-25 13:45:39
,42,2019-05-26 17:38:36
,42,2019-05-26 18:36:23
,42,2019-05-27 10:04:16
,42,2019-05-29 12:04:26
,42,2019-05-29 12:10:16
,42,2019-05-29 14:01:59
,42,2019-05-29 14:01:59
,42,2019-05-29 14:01:59
,42,2019-05-29 20:12:42
,42,2019-05-29 20:15:58
,42,2019-05-31 20:33:21
,42,2019-06-01 15:53:03
,42,2019-06-01 15:53:28
,42,2019-06-03 15:51:27
,42,2019-06-04 23:28:38
,42,2019-06-05 03:46:53
,42,2019-06-10 17:51:01
,42,2019-06-10 18:14:19
,42,2019-06-11 12:38:28
,42,2019-06-11 12:43:58
,42,2019-06-11 16:56:36
,42,2019-06-12 08:28:45
,42,2019-06-13 18:55:16
,42,2019-06-13 19:01:23
,42,2019-06-18 18:12:42
,42,2019-06-19 14:18:26
,42,2019-07-03 17:12:33
,42,2019-07-03 17:12:33
,42,2019-07-03 17:12:33
,42,2019-07-03 17:12:33
,42,2019-07-03 17:12:33
,42,2019-07-09 20:06:08
,42,2019-07-12 15:05:56
,42,2019-07-14 16:14:07
,42,2019-08-03 01:21:08
,42,2019-08-03 01:21:24
,42,2019-08-03 01:21:24
,42,2019-08-03 01:21:24
,42,2019-08-03 01:21:24
,42,2019-08-03 01:21:24
,42,2019-08-03 01:21:24
,42,2019-08-06 14:50:26
,42,2019-08-07 17:19:19
,42,2019-08-28 02:12:03
,42,2019-08-30 09:49:46
,42,2019-09-10 10:21:20
,42,2019-09-10 08:57:55
,42,2019-09-10 11:56:15
,42,2019-09-10 16:11:57
,42,2019-09-10 17:32:54
,42,2019-09-10 17:51:24
,42,2019-09-10 17:18:36
,42,2019-09-12 13:40:40
,42,2019-09-23 11:26:51
