similarity,combination
1,['MCOPCrowdSale.sol']
3,['MCOPCrowdSaleFlat.sol']
1,['Migrations.sol']
0,['TestAddress.sol']
1,['TokenTimelock.sol']
3,['TestMCOPCrowdSale.sol']
0,['MCOPToken.sol']
