similarity,combination
5,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
1,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
11,['StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
6,['StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
4,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
16,['StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
5,['StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
24,['StandardToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
7,['Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
3,['Migrations.sol', 'Ownable.sol', 'ERC20.sol']
5,['Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
4,['Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
6,['Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
5,['Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
5,['Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
14,['SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
2,['SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
1,['SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
14,['Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
