similarity,combination
33,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
41,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
45,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
39,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
59,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
52,['ERC20Basic.sol', 'PausableToken.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
16,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
18,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'PausableToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'PausableToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
23,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
27,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
26,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
29,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
30,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
33,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
40,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
25,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
38,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
33,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
42,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
20,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
7,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
23,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
33,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
26,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
35,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
24,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
57,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
47,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
44,['PausableToken.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
18,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
10,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
14,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
17,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
15,['PausableToken.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['PausableToken.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
35,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
30,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
31,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
39,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
16,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
20,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
18,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
18,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
22,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
10,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
