similarity,combination
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'NotERC223Compatible.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20.sol', 'Token223.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
20,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
20,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
22,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
22,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
20,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
22,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
21,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
23,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
21,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
22,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
12,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
